yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality_1,locality_2,locality_3
2022-12-11, 05:10:52.4,56.373,-5.492,2.8,0.4,6,0.2,      ,   , LERAGS,ARGYLL &amp, BUTE    <br>
2022-12-11, 22:39:09.9,56.517,-5.646,2.6,0.7,6,0.3,      ,   , INNINBEG,HIGHLAND       <br>,
2022-12-16, 08:37:39.7,56.594,-4.115,7.6,0.9,7,0.5,      ,   , GLENLYON,PERTH/KINROSS  <br>,
2022-12-16, 10:26:40.0,57.649,-5.302,8.2,1,6,0.7,      ,   , KINLOCHEWE,HIGHLAND     <br>,
2022-12-21, 10:26:41.4,55.994,-5.24,4.6,1.3,8,0.2,      ,   , GLENDARUEL,ARGYLL/BUTE  <br>,
2022-12-22, 13:30:10.0,56.64,-5.665,7.6,1.4,6,0.3,      ,   , STRONTIAN,HIGHLAND      <br>,
2022-12-22, 16:04:27.9,55.921,-5.304,8.3,1,8,0.2,      ,   , MELLDALLOCH,ARGYLL/BUTE <br>,
2022-12-22, 16:56:24.6,56.634,-5.649,7.8,0.9,6,0.3,      ,   , STRONTIAN,HIGHLAND      <br>,
2022-12-25, 10:50:50.5,55.242,-3.502,2.6,0.7,9,0.4,      ,   , ST ANN'S,D &amp, G          <br>
2022-12-30, 03:03:55.6,56.631,-5.677,8.7,0.9,5,0.2,      ,   , STRONTIAN,HIGHLAND      <br>,
2023-01-01, 03:48:59.5,57.217,-6.21,2.6,0.9,4,0.2,      ,   , SKYE,HIGHLAND           <br>,
2023-01-02, 09:13:48.1,56.398,-4.318,2.9,0.3,7,0.3,      ,   , LOCHEARNHEAD,STIRLING   <br>,
2023-01-03, 06:20:44.4,56.383,-5.853,2.2,1.7,9,0.3,3,   , MULL,ARGYLL &amp, BUTE      <br>
2023-01-05, 00:07:24.3,56.378,-4.295,2.6,0.7,9,0.5,      ,   , LOCHEARNHEAD,STIRLING   <br>,
2023-01-07, 07:27:34.9,56.657,-5.661,6.8,2.3,15,0.3,3,   , MORVERN,HIGHLAND        <br>,
2023-01-10, 11:10:57.5,56.51,-6.349,2.5,1.7,8,0.3,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-01-13, 03:21:11.5,55.457,-3.482,7.7,0.8,9,0.5,      ,   , GLENBRECK,BORDERS       <br>,
2023-01-19, 05:43:48.7,56.507,-6.466,4.3,3.2,47,0.3,3,   , MULL,ARGYLL &amp, BUTE      <br>
2023-01-20, 20:04:22.8,56.767,-5.08,8.1,0.9,7,0.3,      ,   , GLEN NEVIS,HIGHLAND     <br>,
2023-01-23, 12:08:47.3,56.584,-4.088,7.6,0.9,6,0.3,      ,   , FEARNAN,PERTH/KINROSS   <br>,
2023-01-23, 13:51:19.1,56.202,-5.245,2.6,0.8,4,0.1,      ,   , EREDINE,ARGYLL &amp, BUTE   <br>
2023-01-26, 12:39:20.3,56.607,-5.753,7.1,0.6,5,0.2,      ,   , MORVERN,HIGHLAND        <br>,
2023-01-26, 20:23:51.0,56.99,-5.277,7.4,1.8,13,0.4,3,   , MURLAGGAN,HIGHLAND      <br>,
2023-02-03, 04:18:24.5,55.745,-5.368,6.8,1.1,9,0.4,      ,   , CLAONAIG,ARGYLL &amp, BUTE  <br>
2023-02-04, 20:25:04.0,57.444,-5.753,4.8,0.9,6,0.4,      ,   , APPLECROSS,HIGHLAND     <br>,
2023-02-07, 21:35:46.8,56.981,-5.763,6.5,2.1,13,0.3,4,   , MALLAIG,HIGHLAND        <br>,
2023-02-08, 14:44:28.4,56.982,-5.845,7.6,0.9,5,0.4,      ,   , MALLAIG,HIGHLAND        <br>,
2023-02-10, 02:40:07.4,56.46,-6.382,2.6,1,5,0.2,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-02-12, 23:02:24.8,56.385,-5.842,2.6,1.3,8,0.3,3,   , MULL,ARGYLL &amp, BUTE      <br>
2023-02-13, 14:29:04.7,56.711,-6.301,6.6,1.4,7,0.4,      ,   , ARDNAMURCHAN,HIGHLAND   <br>,
